id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
20947,Sui,SUI,sui,643,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio']",10000000000.0,3338327017.9116654,10000000000.0,False,,11,3338327017.9116654,13251952745.399296,,2025-05-10T03:47:00.000Z,3.9696388862734096,2390742387.9898834,-23.1994,-0.92230738,2.62391057,15.17305942,84.4273132,86.9739463,25.81881455,13251952745.399296,0.4052,39696388862.73,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
1975,Chainlink,LINK,chainlink,2005,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,12,,,,2025-05-10T03:47:00.000Z,16.014850908947246,745162307.0825357,18.5062,-0.64354365,1.45496833,10.15054568,30.60594487,28.070493,-14.71533363,10523358059.07502,0.3218,16014850908.95,,2025-05-10T03:47:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-05-10 10:48:25.860309
5805,Avalanche,AVAX,avalanche,911,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,418164188.0839311,454833688.0839311,False,,13,,,,2025-05-10T03:47:00.000Z,23.47825631816789,637059987.8908291,17.7163,-0.31098421,5.55086969,11.23231836,30.87560909,41.95661573,-6.397037,9817765990.913101,0.3002,16804531884.08,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
512,Stellar,XLM,stellar,706,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets', '2017-2018-alt-season', 'made-in-america']",50001806812.0,31031464271.323677,50001786892.81785,False,,14,,,,2025-05-10T03:47:00.000Z,0.2992785518745279,364593733.57063144,8.5244,-0.34176438,1.9722471,9.36906962,27.65513542,22.69611607,-10.83947256,9287051689.667902,0.284,14964468333.81,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
5994,Shiba Inu,SHIB,shiba-inu,962,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel', 'base-ecosystem', 'animal-memes']",589552695333683.0,589249934927287.0,589504331168147.4,False,,15,589552695333683.0,8924237048.596376,,2025-05-10T03:47:00.000Z,1.5137301753060963e-05,634312768.7064394,73.459,-0.26098089,6.09663457,13.42314742,29.29012312,30.89323636,-7.16611604,8919654072.96588,0.2727,8924237048.6,,2025-05-10T03:47:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2025-05-10 10:48:25.860309
1,Bitcoin,BTC,bitcoin,12062,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19862628.0,19862628.0,False,,1,,,,2025-05-10T03:48:00.000Z,103172.45985744768,56135321060.7975,-15.7136,-0.06942522,0.69758724,6.91040414,26.31701869,29.57748083,6.12894835,2049276189993.4163,62.657,2166621657006.4,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
1027,Ethereum,ETH,ethereum,10285,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120730634.90448909,120730634.90448909,True,,2,,,,2025-05-10T03:48:00.000Z,2337.4244231200087,41920325197.05995,9.1926,-0.36115809,5.22625258,27.20205895,45.15314903,25.77983356,-12.82562361,282198734644.5378,8.6283,282198734644.54,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
825,Tether USDt,USDT,tether,127304,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,149733756681.2742,153508342069.00436,True,,3,,,,2025-05-10T03:48:00.000Z,1.0000592575783696,118748138874.10732,4.3685,0.00371735,0.00874179,-0.02268445,0.04726781,0.04528008,-0.00210868,149742629541.0953,4.5784,153517438601.61,,2025-05-10T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-05-10 10:49:26.540456
52,XRP,XRP,xrp,1605,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58550454873.0,99986154627.0,False,,4,,,,2025-05-10T03:48:00.000Z,2.3649627042542267,5749753772.803813,17.9942,-0.31416481,2.30856057,6.82158463,18.63447543,15.30247985,-4.82449361,138469642091.76514,4.2337,236496270425.42,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
1839,BNB,BNB,bnb,2519,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140889202.61,140889202.61,False,,5,,,,2025-05-10T03:48:00.000Z,662.350478751203,2619316080.179263,26.6997,-1.50148639,5.73303339,10.41855279,15.23356706,24.18244908,7.67763927,93318030799.60875,2.8532,93318030799.61,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
5426,Solana,SOL,solana,913,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,519015792.4311312,600355757.5974402,True,,6,,,,2025-05-10T03:47:00.000Z,171.64528575314023,7293261050.997988,18.3599,-0.38986377,6.04115534,15.55534839,48.82466621,42.55487153,-16.52607527,89086614002.23402,2.7238,103048235566.36,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:49:26.540456
3408,USDC,USDC,usd-coin,27708,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,60777124615.39289,60777124615.39289,False,,7,,,,2025-05-10T03:47:00.000Z,0.9999617008901072,18803497006.01348,-2.8004,0.01198726,-0.01051628,0.00463821,-0.00348676,0.00485075,-0.02358259,60774796905.61828,1.8582,60774796905.62,,2025-05-10T03:47:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-05-10 10:49:26.540456
74,Dogecoin,DOGE,dogecoin,1218,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149199286383.70526,149199286383.70526,True,,8,,,,2025-05-10T03:48:00.000Z,0.20843360210180234,2356574802.9084663,16.3511,0.10569532,6.8040709,15.25930709,34.70167608,34.40184879,-19.64296512,31098144691.97408,0.9508,31098144691.97,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
2010,Cardano,ADA,cardano,1513,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35312950699.40473,44994598048.95946,False,,9,,,,2025-05-10T03:48:00.000Z,0.7802432877726926,1419931921.443621,1.1904,-0.75046707,2.02940214,11.65918594,27.70421461,11.26483083,9.80848999,27552692754.65855,0.8424,35110947949.77,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
1958,TRON,TRX,tron,1173,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94911304420.86954,94911291377.22676,True,,10,,,,2025-05-10T03:48:00.000Z,0.2635573998850389,1353206559.1955566,72.1133,-0.13032134,3.46930892,5.81894928,10.84885542,14.1244512,12.72456669,25014576612.861774,0.7648,25014573175.11,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
20947,Sui,SUI,sui,643,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio']",10000000000.0,3338327017.9116654,10000000000.0,False,,11,3338327017.9116654,13251313855.072342,,2025-05-10T03:48:00.000Z,3.969447505883314,2389869624.9003606,-23.2178,-0.91118158,2.58229273,15.08875767,84.67378198,86.6891813,25.34198187,13251313855.072342,0.4052,39694475058.83,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
1975,Chainlink,LINK,chainlink,2005,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,12,,,,2025-05-10T03:48:00.000Z,16.01696292829549,745234978.1651416,18.5218,-0.62821989,1.44899309,10.10504126,30.68869303,28.08455571,-15.1672147,10524745866.926348,0.3218,16016962928.3,,2025-05-10T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-05-10 10:49:26.540456
5805,Avalanche,AVAX,avalanche,911,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,418164188.0839311,454833688.0839311,False,,13,,,,2025-05-10T03:48:00.000Z,23.48056300539138,637284675.396136,17.7794,-0.30537105,5.53345811,11.13666117,30.96329898,41.9738688,-6.64904566,9818730564.903076,0.3002,16806182892.51,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
512,Stellar,XLM,stellar,706,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets', '2017-2018-alt-season', 'made-in-america']",50001806812.0,31031464271.323677,50001786892.81785,False,,14,,,,2025-05-10T03:48:00.000Z,0.2993788682612661,364698316.41078025,8.5536,-0.30987775,1.99678839,9.35138784,27.87367282,22.71033676,-10.90226546,9290164654.038797,0.284,14969484334.4,,2025-05-10T03:48:00.000Z,,,,,,2025-05-10 10:49:26.540456
5994,Shiba Inu,SHIB,shiba-inu,962,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel', 'base-ecosystem', 'animal-memes']",589552695333683.0,589249934927287.0,589504331168147.4,False,,15,589552695333683.0,8926829689.751316,,2025-05-10T03:48:00.000Z,1.5141699394146248e-05,634205094.7385012,73.346,-0.21530454,6.10122697,13.37629644,29.42337197,30.86733918,-7.42236808,8922245382.689219,0.2728,8926829689.75,,2025-05-10T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2025-05-10 10:49:26.540456
1,Bitcoin,BTC,bitcoin,12062,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19862628.0,19862628.0,False,,1,,,,2025-05-10T03:49:00.000Z,103151.53000109164,56094728254.76574,-16.757,-0.06641462,0.73893015,6.89495194,26.35385739,29.60344948,6.05300609,2048860468042.523,62.6443,2166182130022.92,,2025-05-10T03:49:00.000Z,,,,,,2025-05-10 10:50:29.824380
